Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Indicator_Name,Indicator_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
Albania,2032160000.0,140259104.8,746585590.2,1082344270.0,874013475.8,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077209.0,8896074996.0,10677324873.0,12881352878.0,12044205572.0,11926926654.0,12890760273.0,12319834233.0,12776224537.0,13228147516.0,11386853143.0,11861199831.0,13019726212.0,15156424062.0,15401826081.0,15162734205.0,17930565119.0,18882095518.0,0.0
Armenia,1224900000.0,44302769.69,130159016.0,1053061668.0,967175073.4,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469515.0,6384452071.0,9206301264.0,11662040704.0,8647937091.0,9260285762.0,10142111812.0,10619320693.0,11121464430.0,11609513241.0,10553337528.0,10546136240.0,11527458713.0,12457940705.0,13619290546.0,12641698594.0,13861409969.0,19502783988.0,0.0
Antigua and Barbuda,12000000.0,7435745.73,51614.0,4512640.27,4012867.09,ATG,GDP (current US$),NY.GDP.MKTP.CD,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467955556.0,1604770370.0,1675403704.0,1416348148.0,1560518519.0,1757603704.0,0.0
Azerbaijan,3479300000.0,532435102.1,108026863.4,2838838035.0,1250363546.0,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272617196.0,5707618247.0,6236086669.0,7276413079.0,8680410158.0,13245421881.0,20981929498.0,33049426816.0,48851318826.0,44292408817.0,52909294792.0,65952763949.0,69679913510.0,74160553009.0,75239737489.0,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,42693000000.0,54825411765.0,78721058824.0,0.0
Burundi,4800000.0,0.0,0.0,4800000.0,0.0,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135191.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586962.0,2667182199.0,2576518879.0,2649680261.0,2775798697.0,3073414678.0,0.0
Bangladesh,54895633.38,0.0,0.0,54895633.38,0.0,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149991000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0,373902000000.0,416265000000.0,460201000000.0,0.0
"Bahamas, The",142800000.0,3548186.46,0.0,139251813.5,100000000.0,BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,0.0
Bosnia and Herzegovina,2341346697.0,146936983.4,523839172.0,1646124370.0,666978752.1,BIH,GDP (current US$),NY.GDP.MKTP.CD,5567774049.0,5800616572.0,6728219507.0,8498893358.0,10156541358.0,11222796197.0,12864842269.0,15778737117.0,19112801197.0,17613946109.0,17176320823.0,18644239028.0,17226736285.0,18179104549.0,18558731213.0,16404352156.0,17116926092.0,18326376394.0,20484048416.0,20482603346.0,20226030731.0,23649566069.0,24527507288.0,0.0
Belize,162400000.0,6433909.63,28433802.05,127532288.3,36696267.8,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1116000000.0,1163000000.0,1233000000.0,1298000000.0,1389500000.0,1461500000.0,1581000000.0,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0,2824081836.0,0.0
Bolivia,1632200000.0,39319264.45,536437375.2,1056443360.0,778714903.8,BOL,GDP (current US$),NY.GDP.MKTP.CD,8397855937.0,8141517339.0,7905485146.0,8082399991.0,8773451752.0,9549122313.0,11451845379.0,13120107739.0,16674276979.0,17339992194.0,19649724656.0,23963162969.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40408208524.0,43068885673.0,0.0
Barbados,353350000.0,16814302.35,0.0,336535697.7,220722499.7,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0,5637914515.0,0.0
Botswana,1441261341.0,141926407.7,443603811.7,855731121.6,538711762.5,BWA,GDP (current US$),NY.GDP.MKTP.CD,5788329609.0,5489608300.0,5438864269.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730828592.0,10118459714.0,12637273429.0,15110642876.0,13907464500.0,14271738367.0,15470087926.0,13530749290.0,15082636723.0,16105156376.0,17031943186.0,16725908662.0,14960291541.0,18737066307.0,20352322157.0,0.0
China,58145647143.0,5619317329.0,5666011670.0,46733261107.0,15559862065.0,CHN,GDP (current US$),NY.GDP.MKTP.CD,1211330000000.0,1339400000000.0,1470560000000.0,1660280000000.0,1955350000000.0,2285960000000.0,2752120000000.0,3550330000000.0,4594340000000.0,5101690000000.0,6087190000000.0,7551550000000.0,8532190000000.0,9570470000000.0,10475600000000.0,11061600000000.0,11233300000000.0,12310500000000.0,13894900000000.0,14280000000000.0,14687700000000.0,17820500000000.0,17963200000000.0,0.0
Cote d'Ivoire,3062000000.0,445234027.1,40786315.94,2559290478.0,131619145.5,CIV,GDP (current US$),NY.GDP.MKTP.CD,16577533892.0,16810537038.0,18054383334.0,21251754335.0,23510575669.0,24036918719.0,25281413268.0,28760090924.0,34078240260.0,33886813225.0,34936307964.0,36693710822.0,36302302844.0,42760235496.0,48843005625.0,45815005171.0,48407761032.0,52512344034.0,58522477745.0,59898479821.0,62982768372.0,71811075955.0,70018715017.0,0.0
Cameroon,2567100000.0,300403980.1,750321305.5,1498642496.0,428311894.6,CMR,GDP (current US$),NY.GDP.MKTP.CD,10566579295.0,10953485345.0,12417251342.0,15970315030.0,18826214125.0,19509852219.0,20910512978.0,23928250410.0,27715142006.0,27932970297.0,27507501809.0,30630910513.0,30155062303.0,33728621190.0,36386544716.0,32210233022.0,33814337041.0,36098547059.0,39973842059.0,39670976440.0,40773241212.0,45338285386.0,44341646509.0,0.0
Colombia,33199488071.0,2199389377.0,1371668110.0,29699591580.0,15048767376.0,COL,GDP (current US$),NY.GDP.MKTP.CD,99875074935.0,98200641189.0,97945812790.0,94644969146.0,117092000000.0,145601000000.0,161793000000.0,206230000000.0,242504000000.0,232469000000.0,286499000000.0,334966000000.0,370691000000.0,382094000000.0,381241000000.0,293492000000.0,282720000000.0,311867000000.0,334198000000.0,323032000000.0,270151000000.0,318512000000.0,343939000000.0,0.0
Cabo Verde,62000000.0,56571.37,2491250.0,57642057.16,38361069.25,CPV,GDP (current US$),NY.GDP.MKTP.CD,539227277.6,563090488.9,620507385.7,813260468.9,924940012.9,972241682.1,1107571459.0,1649621735.0,1959620653.0,1852334581.0,1824751460.0,2046817975.0,1913081206.0,2028910915.0,2041930125.0,1749857628.0,1849789993.0,1996741545.0,2205099509.0,2266752197.0,1878277311.0,2091741774.0,2314816792.0,0.0
Czechia,626000000.0,114342545.6,0.0,511686256.7,0.0,CZE,GDP (current US$),NY.GDP.MKTP.CD,61823494487.0,67808695574.0,82196206090.0,100090000000.0,119815000000.0,137143000000.0,156264000000.0,190184000000.0,236817000000.0,207434000000.0,209070000000.0,229563000000.0,208858000000.0,211686000000.0,209359000000.0,188033000000.0,196272000000.0,218629000000.0,249001000000.0,252548000000.0,245975000000.0,281791000000.0,290924000000.0,0.0
Dominica,7760000.0,2763956.4,0.0,4996043.6,0.0,DMA,GDP (current US$),NY.GDP.MKTP.CD,333470370.4,340203703.7,333196296.3,343311111.1,367200000.0,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037.0,576229629.6,521551851.9,554770370.4,611537037.0,504214814.8,555266666.7,612048148.1,0.0
Dominican Republic,4491440000.0,247701300.5,1397721250.0,2876017450.0,1555256434.0,DOM,GDP (current US$),NY.GDP.MKTP.CD,24305781112.0,25601824419.0,27137441266.0,21403168128.0,22322387610.0,35777560475.0,37879829855.0,43965459071.0,48122601590.0,48261079524.0,53860187452.0,58029773802.0,60681535894.0,62682158700.0,67179956265.0,71164826720.0,75704647977.0,79998045976.0,85555390386.0,88941371980.0,78844655833.0,94243426487.0,113642000000.0,0.0
Algeria,5911830000.0,1605314650.0,0.0,4306515350.0,0.0,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398813.0,54744698044.0,56760355865.0,67863850334.0,85332581189.0,103198000000.0,117027000000.0,134977000000.0,171001000000.0,137211000000.0,161207000000.0,200013000000.0,209059000000.0,209755000000.0,213810000000.0,165979000000.0,160034000000.0,170097000000.0,174911000000.0,171760000000.0,145744000000.0,163472000000.0,191913000000.0,0.0
Ethiopia,108600000.0,3022.78,0.0,108596977.2,0.0,ETH,GDP (current US$),NY.GDP.MKTP.CD,8242349955.0,8231326016.0,7850809498.0,8623691300.0,10131187261.0,12401139454.0,15280861835.0,19707616773.0,27066912635.0,32437389116.0,29933790334.0,31952763089.0,43310721414.0,47648276190.0,55612228234.0,64589329345.0,74296745599.0,81770886909.0,84269196152.0,95912607970.0,107658000000.0,111262000000.0,126783000000.0,0.0
Fiji,354850000.0,9920950.01,11495848.67,333433201.3,182983751.5,FJI,GDP (current US$),NY.GDP.MKTP.CD,1678219508.0,1652462063.0,1833279985.0,2300492002.0,2708078477.0,2980403465.0,3076305453.0,3378314600.0,3523185920.0,2870624636.0,3140167239.0,3779412255.0,3972028510.0,4189968870.0,4857103847.0,4682480304.0,4930213788.0,5353468388.0,5581425891.0,5481692622.0,4477030180.0,4296235428.0,4943248200.0,0.0
Gabon,1221500000.0,108632484.2,109903116.1,1000747444.0,660691710.9,GAB,GDP (current US$),NY.GDP.MKTP.CD,5080483628.0,5023265411.0,5335451104.0,6511903364.0,7770219004.0,9582783997.0,10327598309.0,12455409575.0,15571348329.0,12113699059.0,14372593014.0,18210307754.0,17170464001.0,17595744804.0,18203966900.0,14383107763.0,14023890264.0,14929487496.0,16867326390.0,16874405460.0,15314577168.0,20217946921.0,21071739228.0,0.0
Ghana,190500000.0,200780020.8,0.0,189719979.2,0.0,GHA,GDP (current US$),NY.GDP.MKTP.CD,4982849054.0,5314871684.0,6166197192.0,7632720680.0,8881419348.0,10744562615.0,20885042153.0,24827333947.0,28679383241.0,26048726186.0,32197648061.0,39336668081.0,41271708600.0,62824629066.0,54783320577.0,49406014245.0,56164933479.0,60405920071.0,67298913752.0,68337974419.0,70043095503.0,79156409410.0,72838798788.0,0.0
Guinea,75200000.0,1700000.0,0.0,73500000.0,0.0,GIN,GDP (current US$),NY.GDP.MKTP.CD,2995361112.0,2829435908.0,2950198724.0,3446441785.0,3635458214.0,2937071740.0,4220019243.0,6281917650.0,6964179188.0,6716904516.0,6853467833.0,6785137215.0,7638045226.0,8376613880.0,8778473643.0,8794202395.0,8595955601.0,10324668271.0,11857030366.0,13442861497.0,14177835841.0,16091817842.0,21227749389.0,0.0
Grenada,40198161.0,5462837.05,2450533.13,32284790.82,12451866.71,GRD,GDP (current US$),NY.GDP.MKTP.CD,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037.0,771275555.6,771014814.8,778655555.6,799881481.5,842618518.5,911496296.3,997007407.4,1061640741.0,1125685185.0,1166514815.0,1213485185.0,1043411111.0,1122800000.0,1256413185.0,0.0
Guatemala,4817610000.0,505039693.1,473269249.0,3959301058.0,2081848037.0,GTM,GDP (current US$),NY.GDP.MKTP.CD,19288928616.0,18405221418.0,20444205991.0,21576351799.0,23577298589.0,26783388709.0,29744247479.0,33567850095.0,38503718527.0,37126146369.0,40676579265.0,46876004265.0,49593926849.0,52996447956.0,57852150565.0,62186064719.0,66053402745.0,71653756504.0,73328369926.0,77172313916.0,77715183063.0,86053079767.0,95003333381.0,0.0
Guyana,79950000.0,3738478.12,0.0,76211521.88,0.01,GUY,GDP (current US$),NY.GDP.MKTP.CD,712667896.7,712167448.9,726131434.7,743063949.0,787814379.2,824880550.3,2379817987.0,2730971600.0,3025187428.0,3165663153.0,3432912511.0,3691384318.0,4063088529.0,4167800936.0,4127660158.0,4279840194.0,4482697337.0,4748174334.0,4787637006.0,5173760192.0,5471256595.0,8044498801.0,15357537068.0,0.0
Honduras,717250000.0,26269346.96,0.0,690980653.0,-0.01,HND,GDP (current US$),NY.GDP.MKTP.CD,7186638029.0,7651162302.0,7858255253.0,8230391505.0,8869299234.0,9757012869.0,10917476874.0,12361257681.0,13881731631.0,14587496229.0,15839344592.0,17710275997.0,18528554861.0,18499729063.0,19756533658.0,20979791685.0,21717604581.0,23136248046.0,24067750466.0,25089937109.0,23827859695.0,28488721296.0,31717700115.0,0.0
Haiti,2600000.0,0.0,0.0,2600000.0,0.0,HTI,GDP (current US$),NY.GDP.MKTP.CD,6813565983.0,6331970413.0,6205847137.0,5071947798.0,6087360735.0,7030149791.0,7638739124.0,9228637766.0,10432962725.0,11597002930.0,11859312627.0,13008746039.0,13708925403.0,14902488489.0,15146883647.0,14849629408.0,14069277532.0,15093357143.0,16403864521.0,15016090930.0,14508222518.0,20877414952.0,20253551885.0,0.0
Indonesia,64315748591.0,8191323300.0,6242964637.0,49865978162.0,19814170572.0,IDN,GDP (current US$),NY.GDP.MKTP.CD,165021000000.0,160447000000.0,195661000000.0,234772000000.0,256837000000.0,285869000000.0,364571000000.0,432217000000.0,510229000000.0,539580000000.0,755094000000.0,892969000000.0,917870000000.0,912524000000.0,890815000000.0,860854000000.0,931877000000.0,1015620000000.0,1042270000000.0,1119100000000.0,1059050000000.0,1186510000000.0,1319100000000.0,0.0
India,79180360000.0,13908668124.0,13484510268.0,51985397565.0,20712853300.0,IND,GDP (current US$),NY.GDP.MKTP.CD,468395000000.0,485441000000.0,514938000000.0,607699000000.0,709149000000.0,820382000000.0,940260000000.0,1216740000000.0,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0,1827640000000.0,1856720000000.0,2039130000000.0,2103590000000.0,2294800000000.0,2651470000000.0,2702930000000.0,2835610000000.0,2671600000000.0,3150310000000.0,3385090000000.0,0.0
Iraq,5204520000.0,306877446.4,818458368.9,4079184185.0,3163847117.0,IRQ,GDP (current US$),NY.GDP.MKTP.CD,48364250944.0,36176430129.0,32928454672.0,21921569479.0,36627901762.0,49954890353.0,65140147197.0,88837055195.0,131614000000.0,111658000000.0,138517000000.0,185750000000.0,218002000000.0,234638000000.0,228416000000.0,166774000000.0,166602000000.0,187218000000.0,227367000000.0,233636000000.0,180924000000.0,207692000000.0,264182000000.0,0.0
Jamaica,3030100000.0,146555253.3,77540076.08,2806004671.0,1009064717.0,JAM,GDP (current US$),NY.GDP.MKTP.CD,9005064475.0,9194727831.0,9719009562.0,9430234852.0,10174664854.0,11243865788.0,11930179173.0,12799600075.0,13709401444.0,12120458141.0,13220549858.0,14444661488.0,14807086491.0,14264205124.0,13899225340.0,14188938781.0,14077105503.0,14808984881.0,15730791526.0,15830766372.0,13812421859.0,14657586359.0,17097760745.0,0.0
Jordan,9515200000.0,859190391.3,1774301134.0,6881708475.0,4185763298.0,JOR,GDP (current US$),NY.GDP.MKTP.CD,8460789845.0,8975812449.0,9582512831.0,10195627645.0,11411706629.0,12588998590.0,15056981664.0,17110442867.0,22658730357.0,24537876056.0,27133804225.0,29524149155.0,31634561690.0,34454440141.0,36847643521.0,38587017887.0,39892551127.0,41608435915.0,43370860704.0,44503005775.0,43579916197.0,45116317042.0,47451499859.0,0.0
Kenya,2486214900.0,270343573.4,135198818.8,2070688921.0,1082919881.0,KEN,GDP (current US$),NY.GDP.MKTP.CD,12705350153.0,12986007426.0,13147736954.0,14904517650.0,16095337094.0,18737895401.0,25825512278.0,31958195182.0,35895153328.0,42347217913.0,45405615233.0,46869473166.0,56396704833.0,61671440481.0,68285796663.0,70120446664.0,74815143796.0,82036511259.0,92202979941.0,100378000000.0,100658000000.0,109704000000.0,113420000000.0,0.0
St. Kitts and Nevis,27319322.0,3118387.99,0.0,24200934.01,0.0,KNA,GDP (current US$),NY.GDP.MKTP.CD,421695769.8,458643829.0,481077373.7,469869869.9,506900000.0,547203703.7,644414814.8,689285185.2,777691333.3,774273111.1,778718518.5,836092592.6,825381481.5,874896296.3,953170370.4,957037037.0,1008100000.0,1058944444.0,1076922222.0,1107844444.0,884522222.2,860844444.4,961563259.3,0.0
Lebanon,3750330000.0,1336819174.0,780525348.2,1962885478.0,853820903.9,LBN,GDP (current US$),NY.GDP.MKTP.CD,17260364842.0,17649751244.0,19152238806.0,20082918740.0,21159827992.0,21497336499.0,22022709852.0,24827355015.0,29118916106.0,35399582929.0,38443907042.0,39927125961.0,44016799516.0,46880103081.0,48095213746.0,49929337837.0,51147308774.0,53027680686.0,54901519156.0,51605959131.0,31712128254.0,23131941557.0,0.0,0.0
Liberia,155950000.0,14693264.56,0.0,141256735.4,-0.02,LBR,GDP (current US$),NY.GDP.MKTP.CD,874000000.0,906000000.0,927000000.0,748000000.0,897000000.0,949000000.0,1119000000.0,1373000000.0,1726000000.0,1768000000.0,1998000000.0,2398000000.0,2791614000.0,3177198100.0,3225652000.0,3227075700.0,3398419600.0,3390703400.0,3422754800.0,3319596500.0,3039982500.0,3509000000.0,4001047150.0,0.0
St. Lucia,40146161.0,2292682.44,0.0,37853478.56,2640000.01,LCA,GDP (current US$),NY.GDP.MKTP.CD,932592592.6,892592592.6,900000000.0,987407407.4,1066666667.0,1135555556.0,1268319185.0,1336088815.0,1437731111.0,1401507889.0,1482370370.0,1568370370.0,1598222222.0,1660222222.0,1749296296.0,1807222222.0,1865444444.0,1996703704.0,2057074074.0,2094185185.0,1516000000.0,1691259259.0,2065027556.0,0.0
Sri Lanka,1856710000.0,361134464.6,331316798.9,1189258736.0,967603495.1,LKA,GDP (current US$),NY.GDP.MKTP.CD,16330814180.0,15749753805.0,16536535647.0,18881765437.0,20662525941.0,24405791045.0,28279802451.0,32350238663.0,40713826321.0,42066223971.0,58636160849.0,67753284135.0,70447217164.0,77000578207.0,82528535573.0,85140955517.0,88012281910.0,94376237832.0,94493871351.0,89014978319.0,84440535699.0,88496535599.0,74403578363.0,0.0
Morocco,25159314000.0,1779312192.0,3775575803.0,19249764178.0,9319698401.0,MAR,GDP (current US$),NY.GDP.MKTP.CD,43017455401.0,43831480206.0,47077192184.0,58029361339.0,66114147932.0,68852655480.0,75883820424.0,86947909745.0,101823000000.0,101155000000.0,100865000000.0,110081000000.0,106937000000.0,115739000000.0,119131000000.0,110414000000.0,111573000000.0,118541000000.0,127341000000.0,128920000000.0,121348000000.0,142867000000.0,134182000000.0,0.0
Moldova,783680000.0,94516865.09,207131488.2,506321358.7,256905234.2,MDA,GDP (current US$),NY.GDP.MKTP.CD,1288429392.0,1480673594.0,1661818168.0,1980907435.0,2598249556.0,2988342907.0,3408255364.0,4401173162.0,6054824433.0,5439434059.0,6974982391.0,8414351672.0,8709138767.0,9496717701.0,9399833207.0,7798692878.0,7982450758.0,9519053158.0,11253727815.0,11735774634.0,11531967881.0,13692230147.0,14420947884.0,0.0
