Country,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Borrower's Obligation,Country_Code,Series_Name,Series_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,developed
St. Vincent and the Grenadines,14642161.0,4943783.71,0.0,9698377.29,0.02,VCT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,544444.4444,507407.4074,315555.5556,314988.8889,365140.7407,425955.5556,532896.2963,912066.6667,2953840.37,3310923.333,3244542.963,3336221.481,3237292.593,3383282.222,3761884.433,3065919.2,3356214.685,2699259.85,2675928.645,2449615.222,2586870.683,2715936.675,0.0,0.0
Argentina,42466653000.0,4680850784.0,5289592137.0,33000224304.0,9498278955.0,ARG,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,580337544.9,564137635.4,351280000,402950000,520630000,650640000,894824121.7,1174682410,1531726727,1526895361,1712212410,2079139111,2216992900,2329270062,2098996166,2178066124,2108388364,2350351645,2054243293,1688980859,1149104742,1397946196,1706885415,1.0
Australia,417730000.0,0.0,0.0,417730000.0,-0.02,AUS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1160197303,1001186254,1184791216,1502670172,1743966466,1972287332,2151687683,2809284035,3012858777,2832316675,3423557729,4110573493,4165820497,3913990517,3973566695,3526073729,3331031239,3471857721,3674795660,3455233880,3585412721,3980422321,4049873949,1.0
Belarus,2196420000.0,460682915.9,69897.36,1742576324.0,998716485.2,BLR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2700000,3800000,3200000,5500000,9100000,19500000,50500000,52500000,75200000,76000000,102700000,89200000,106800000,145100000,237300000,132700000,125700000,157100000,178700000,187200000,202400000,248656400,0.0,1.0
Belgium,76000000.0,0.0,0.0,76000000.0,0.0,BEL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,741532731.4,983530497.3,1038258097,1048948518,1077146472,1997290657,2023023359,1934877742,1905030685,2895143845,2822609814,3348514804,3404143477,3336208271,2759594691,3591804626,3809794821,3252753486,3221189018,3243962433,4475828563,1.0
Chile,4644107000.0,756105274.6,150036400.0,3858859325.0,150089600.0,CHL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,297470000,268598924,250600000,257124131.2,307300000,347500000,383708785.1,447500000,538619514.5,596536869.5,726289314.4,773559649.6,1072980132,1418818378,1614627539,1635419969,1730596607,1709057253,2034376888,1878506475,1511563046,1689634052,1324660664,1.0
Costa Rica,3747770500.0,374111679.1,878441639.6,2615217181.0,1564294104.0,CRI,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,49833730,49021813.48,51154010,63871136,51358969,56875640,87482020,52944749.88,86390876.1,119400565.1,158855730.1,214778112,310560930.4,374402372.6,454698564.8,495827687.8,503368674.6,538240000,623646376.5,594092066.9,591453204,624290765.1,743019289.3,1.0
Croatia,5532659331.0,518288860.1,601091000.1,4286800746.0,1425355811.0,HRV,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,60522820.75,62512938.92,77182623.86,130643616,145414969.5,192496176.9,174577804,213320601.2,258616774.4,212636457.4,224741363.1,262289982.5,307359863.6,281192019.4,275975835.6,267800175.3,269102708.7,307566945.9,311309985.5,328799390.4,312130451.1,376123554.8,387783909.8,1.0
Cyprus,418800000.0,94656258.01,0.0,324143742.0,-0.01,CYP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,20725917.49,20199182.88,14987397.98,38640483.76,53379644.47,44655062.13,60437219.98,55607286.92,70969541.64,0.0,0.0,0.0,127245097.5,0.0,0.0,0.0,0.0,232194731.6,0.0,259717577.7,300267056.8,359414467.5,243886540,1.0
Denmark,85000000.0,0.0,0.0,85000000.0,0.0,DNK,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,887513470.9,948675334.3,885829978.1,1194906781,1379559872,1325847663,1412631900,1392512982,1735972102,1695330425,1530214735,1625778239,1488297357,1584730653,1528895648,1562906220,1714649845,1902986758,1.0
Estonia,150700000.0,19676222.12,0.01,125411712.3,0.0,EST,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7909800.996,11232525.44,14113255.15,0.0,0.0,0.0,0.0,0.0,49797157.79,45861418.97,60041345.41,74447963.38,61274606.29,49014653.79,61551392.44,43591116.46,51669819.03,62014803.52,66881559.96,63213681.88,56938618.96,78261754.95,64542862.55,1.0
Finland,316779464.4,14542428.74,0.0,302237035.7,0.0,FIN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,565058183.8,533700641.7,605924790.1,616276302.2,800565236.1,1122659918,0.0,0.0,2253386655,1477245036,1508665558,1576638925,1774389256,1917947814,1178587922,832316827.1,876927845,1022698642,1066485645,1000220941,1209456424,1110538038,1062799683,1.0
France,250000000.0,0.0,0.0,250000000.0,0.0,FRA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,4416719402,4095839453,4547619885,5154463499,5800016169,6182912479,7028743115,7672468333,10435073227,8387238481,10014878126,10545784932,8754182545,11054534501,12764952188,15660393096,14758389447,15849154072,14350603897,12396256258,12505733388,13127793210,12797988675,1.0
Georgia,2516800000.0,36943124.12,870984184.5,1583048416.0,1446645401.0,GEO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,7144248.79,6753653.31,10685440,10601494.04,5671521.36,5320755.08,5023551.11,4871460.38,8403513.81,8559176.97,7404609.48,7956804.44,7590401.93,13438271.71,19348328.75,6985876.37,19491612.75,24691784.03,27053208.22,40652755.9,54890643.85,61629499.6,0.0,1.0
Greece,490800000.0,118459339.8,0.0,372340660.2,0.0,GRC,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,202864432.7,225068410.5,287639249.7,334838120,466062588.7,441508052.7,406104697.2,600153526,713441167.6,654722897.3,626946377.4,556622104.3,370769831,322272258.6,445973221.3,290739287.5,246662484,347582001.5,382963979.6,321456877.1,320133707.8,351027037,279990877.9,1.0
Hungary,5946880000.0,2381104063.0,0.01,3561137212.0,0.0,HUN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,258734878.2,269492894.8,416530257.1,463929314.8,1053803576,1107702919,1169130363,1752222005,2596029138,1981316302,1799363441,2034865903,1701009788,1966063664,1701540946,2006472537,1446684698,1597954988,1628927748,1701673073,1408457720,1661069518,1361684817,1.0
Iceland,47014000.0,0.0,0.0,47014000.0,0.04,ISL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46763922.05,80111587.13,68399224.83,78598088.32,77949482.46,119197270.8,83750707.96,105225068.8,116324860.6,132737142.3,96747922.45,65792259.76,65200016.7,75438957.32,1.0
Ireland,152500000.0,2153546.65,0.0,150346453.4,0.0,IRL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,19214895717,22041813683,24012890154,35450512680,35043049664,37458289198,40850357076,38193322608,42172564892,57267745573,70703012434,76560417794,75297536577,85482296094,94262327695,96825073581,1.33014E+11,1.36911E+11,1.0
Israel,284500000.0,701448.93,0.0,283798551.1,0.01,ISR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,360600000,459600000,461800000,433400000,490700000,541900000,680900000,912800000,908300000,898600000,831500000,1068300000,1111700000,998000000,1135700000,1061600000,1202100000,1351600000,1381900000,1520200000,1669800000,2176500000,2689800000,1.0
Italy,399628000.0,1600000.0,0.0,398028000.0,-0.01,ITA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2621860111,2868963292,3231625816,4315235434,4964976033,5517920061,6544011252,8008964321,7233846031,6142374753,6545120562,6609329693,5585999530,5387501410,5179740482,4320634262,4680064924,4783536892,5141287990,4952836478,4202673105,5061604128,5228958715,1.0
Japan,862900000.0,5858996.19,0.0,857041003.8,0.0,JPN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11006793150,11098561971,11020739909,11003388852,13644338678,14653524495,15500422630,16677754114,18311541939,16834677241,18768647813,19172720512,19897558093,17831143180,20941598563,17033762146,20246369822,21381387584,21993730962,26774027971,28550217207,29653031448,27797728102,1.0
Latvia,984615000.0,71408458.64,0.0,887526526.1,0.0,LVA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35304159.59,25205434.22,33039281.24,52872035.88,43691574,47866470.98,45149422.11,34415898.64,36455711.91,47688935.27,64586076.55,50330404.63,30999228.72,37741486.72,38768989.02,1.0
Luxembourg,12000000.0,238016.98,0.0,11761983.02,0.0,LUX,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,121764571.8,243185706.2,33221912.69,37844886.83,80494962.54,71469847.14,84036581.13,306464038.2,423290760.1,307324041.7,188014603.6,246605712.6,870092007.3,1352508591,1702490629,1995626232,2975894330,4196126239,4374511455,5477592021,9071914970,9316183920,8815769720,1.0
Malaysia,4150620000.0,894720698.7,0.0,3255899301.0,0.02,MYS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,546052631.6,751315789.5,627894736.8,782000000,895618421.1,1369655659,954002498.6,1185193311,1267781217,1133119333,1318006092,1634190362,1543302849,1395327002,1423860804,1294968669,1347909837,1826846903,2006740927,2218697840,2388113285,2590243495,2552403481,1.0
Malta,7500000.0,1459920.43,0.0,6040079.57,0.0,MLT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,9848318.834,10193326.79,13226093.3,15225284.75,29232260.77,128255964.1,195165848.8,124958760.5,890095875.3,1614425761,1592818523,597234766.7,446179048.2,510754971.7,555400198.8,679181704.4,840302814.2,972076549.8,1027578219,1349712587,1562368036,1843921557,1752706801,1.0
Mauritius,842530000.0,131873527.8,0.02,719685767.5,118961899.5,MUS,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,1185306.464,1384588.848,2280330.7,1696030.315,4265314.468,4716068.975,4422762.476,5998794.771,5853887.261,5185393.603,12068022.45,15201851.05,15522665.59,13487012.58,15456951.19,15754704.31,17580177.28,19759852.01,14200192.63,13404797.51,13497976.43,10815930.76,12079701.03,1.0
Montenegro,832443054.6,88503460.34,248370738.6,459675290.7,192843451.9,MNE,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9020036.678,11280173.15,11628956.45,8872927.094,2822505.369,3078425.553,4457701.997,5296924.612,3446391.283,6014925.279,5101165.478,6034347.464,5874126.789,3714630.964,4688291.289,6593835.704,1.0
Netherlands,244000000.0,7548015.28,0.0,236451984.7,0.0,NLD,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,2504611233,2321477330,2614585211,3362406608,24246609485,25306730018,26990274216,32109653218,36253036932,34418549710,32819973389,36661869501,36136892529,37444374674,47319178096,72163826761,37624231190,42021672733,45150660652,40693815668,35986676897,17731073968,20235251745,1.0
New Zealand,126800000.0,25254120.91,0.0,101545879.1,0.0,NZL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,312843010.4,317121949.6,361820924.4,466307528.8,528700292.6,554120312.9,501079242.8,611066531.8,619758922.6,578826768,699871923,1010436678,973564426.1,982801999.8,942756515.2,837125959.2,867802528.5,921694042.5,913496669.7,937337789.4,835111263.2,1067663599,1084483870,1.0
Norway,145000000.0,0.0,0.0,145000000.0,0.0,NOR,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,439207804.4,329060784.9,328603757.9,394454192.2,442165107.9,436873691.6,454367240.6,168936737.4,459851144,317624196.9,633879635.6,778782346.3,587756889.1,668151571.2,654166979.2,569367271.7,505448565.9,1381215431,738224369.9,614054872.7,739106285.4,553296342.4,546959607.8,1.0
Oman,157050000.0,14739777.51,0.0,142310222.5,0.0,OMN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Panama,4178090000.0,443358836.5,272824107.3,3461907056.0,1667727359.0,PAN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,42400000,35800000,46700000,42400000,45500000,44600000,42600000,57200000,59400000,62500000,46300000,68700000,96900000,80900000,98700000,57000000,47000000,46300000,631064333.5,379622694.1,443279389.7,12037007.81,0.0,1.0
Poland,16450600000.0,1205598967.0,305553703.8,14943404714.0,6036895528.0,POL,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,555000000,508000000,557000000,745000000,883000000,1036000000,1313000000,1575000000,1773000000,1542000000,2248000000,2407000000,2332000000,2693000000,2945000000,2431000000,2692000000,3167000000,3639000000,3734000000,3534000000,4134000000,4000000000,1.0
Portugal,1338800000.0,365155999.8,0.0,973628417.8,0.0,PRT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,275310387.4,250806170.3,314186788.4,307630213.7,361783080.2,349633378.2,408518949.9,479505309.5,534829333.6,562301734.1,595846046.6,600613719,505194156.6,517704267.3,660632627.8,700149438.1,813725640,892938043,883697896,887737502.5,879412474.9,886755617,0.0,1.0
Serbia,7560279508.0,1009740734.0,751568546.8,5598821220.0,2417000971.0,SRB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143606535,194757507.5,143654258.5,156105712.5,183302673.6,174972017.3,221204084,224594091.7,180332274.4,199746134.6,239382868,289729929.3,304261638.8,348262113.7,503365928.2,639762283.9,1.0
Singapore,181300000.0,1946755.45,0.0,179353244.6,-0.02,SGP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,5099296389,4937985653,4948261884,6775980331,8054414739,9494666989,9765545020,9810419779,13604164838,13438021506,17029305529,20346152652,23105585202,22992008311,20877550215,19400287309,15666647584,15810634176,17249096447,15161436539,14882786029,16325100175,15806794004,1.0
Slovenia,371845701.1,66852188.75,0.0,299278073.7,0.0,SVN,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,49500000,60400000,78400000,89600000,123300000,113000000,153685414.4,168773215.5,254656317.1,289021239.9,344190440.6,381272095,356983239.1,253036284.5,241837673.5,221412274.4,224388233.9,247300894.7,271288627.7,256638367.5,251963420.2,300200854,282803204.9,1.0
Spain,478700000.0,62396194.65,0.0,416303805.4,0.03,ESP,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4514279640,4474717118,4520612371,4987966185,5065245409,6644636046,6838705335,5122068572,5917230506,5804753906,1.0
Thailand,9453140000.0,1301035953.0,0.0,8151817580.0,583000000.0,THA,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,709870581.5,823264729.7,1103909310,1267697585,1583825523,1676210000,2046760000,2288640000,2567130000,2247540000,3080540000,3121260000,3609708798,4593395979,3970840948,4121492145,3979483476,4280771967,5274352965,5311900978,4503700128,5581121900,5502374614,1.0
Trinidad and Tobago,353600000.0,45778820.54,7864150.03,299957029.4,12135849.98,TTO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60143858.87,54084973.45,60809869.37,70160562.62,75381069.46,53970155.79,54190080.6,69012595.73,49016604.54,36904008.85,49041000.61,0.0,1.0
Uruguay,4904860000.0,792990745.6,61051257.91,4141870733.0,1325765395.0,URY,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,6476000,9766440.68,6757023.588,14027245.51,4314747.742,6908775.936,7287106.777,7633470.999,16625936.39,21950555.73,26557142.4,33571028.5,87053683.55,113538506.1,137250587.4,102899213.6,113353942.6,122680491.6,189310267.1,182878101.3,125883223.5,158551631.6,183343946.4,1.0
Kazakhstan,9086012440.0,2058317045.0,455447923.8,7514959251.0,3457980096.0,KAZ,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,11762250,13633443,19912050,19631955,25710836,30903834,48439128,67989400,86660560,65089100,85536930,94623340,152394296,147894953.5,93680130,149088505,126873670,117050999.3,167710230,141641590,146488695,231453628.1,300714670.6,1.0
Lithuania,490790000.0,94745349.13,-0.01,404108184.1,0.0,LTU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,12270000,10175000,11482984.44,18106868.18,18022666.36,20618017.78,24410670.02,21619427.83,34497330.74,29088375.14,34801068.02,34300086.11,38179826.62,51742886.95,47451213.57,48349772.01,66926847.32,67754950.86,61738440.48,72719073.99,77947223.91,172930885.4,509225246.3,1.0
Romania,17003550000.0,1035406997.0,2319294909.0,13499585020.0,4568877609.0,ROU,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,45000000,60000000,85000000,80000000,108000000,173274997.6,235424080.6,247969547.9,345932437.5,367264725,445022001.1,482416189.5,452525195.7,879803422.6,901296183,834447967.1,832020078,911037524.1,962384646.5,936735170.4,886842442.5,1041336733,953960511.6,1.0
Austria,106336428.6,1476346.0,0.0,104860082.6,0.01,AUT,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,0.0,0.0,0.0,0.0,0.0,1333226508,1597968244,1800773476,2092660688,1712417782,1610873768,1864971068,1955209022,1754327695,1777037546,1459761886,1466531271,1663374078,1860498012,2101791072,1635897814,1815605454,0.0,1.0
